x	y	t	f
0.016667	4.933333	999	0.034335
0.016667	4.950000	999	-0.037415
0.016667	4.966667	999	0.021620
0.033333	0.016667	999	0.019361
0.033333	0.033333	999	-0.004466
0.033333	0.050000	999	0.030229
0.033333	0.066667	999	0.007385
0.033333	0.083333	999	0.002170
0.033333	0.100000	999	0.014751
0.033333	0.116667	999	-0.018478
0.033333	0.133333	999	-0.002816
0.033333	0.150000	999	-0.007808
0.033333	0.166667	999	-0.025285
0.033333	0.183333	999	0.005805
0.033333	0.200000	999	-0.023717
0.033333	0.216667	999	0.002830
0.033333	0.233333	999	-0.001232
0.033333	0.250000	999	0.003558
0.033333	0.266667	999	0.019075
0.033333	0.283333	999	0.016341
0.033333	0.300000	999	0.015918
0.033333	0.316667	999	0.011894
0.033333	0.333333	999	-0.015412
0.033333	0.350000	999	-0.013005
0.033333	0.366667	999	-0.033695
0.033333	0.383333	999	-0.011323
0.033333	0.400000	999	0.005053
0.033333	0.416667	999	0.011925
0.033333	0.433333	999	0.041077
0.033333	0.450000	999	-0.012485
0.033333	0.466667	999	0.001405
0.033333	0.483333	999	-0.044180
0.033333	0.500000	999	-0.027467
0.033333	0.516667	999	0.004733
0.033333	0.533333	999	0.010424
0.033333	0.550000	999	0.021412
0.033333	0.566667	999	0.006936
0.033333	0.583333	999	-0.050779
0.033333	0.600000	999	-0.007149
0.033333	0.616667	999	-0.026110
0.033333	0.633333	999	0.024692
0.033333	0.650000	999	0.041727
0.033333	0.666667	999	-0.015496
0.033333	0.683333	999	0.016909
0.033333	0.700000	999	-0.022885
0.033333	0.716667	999	0.024879
0.033333	0.733333	999	0.038489
0.033333	0.750000	999	-0.002597
0.033333	0.766667	999	-0.008814
0.033333	0.783333	999	-0.030373
0.033333	0.800000	999	-0.002190
0.033333	0.816667	999	0.051297
0.033333	0.833333	999	0.017032
0.033333	0.850000	999	0.027736
0.033333	0.866667	999	-0.009606
0.033333	0.883333	999	0.015811
0.033333	0.900000	999	0.039044
0.033333	0.916667	999	-0.005350
0.033333	0.933333	999	-0.019022
0.033333	0.950000	999	-0.034694
0.033333	0.966667	999	-0.018389
0.033333	0.983333	999	0.040988
0.033333	1.000000	999	-0.023630
0.033333	1.016667	999	0.002916
0.033333	1.033333	999	-0.027172
0.033333	1.050000	999	0.020717
0.033333	1.066667	999	0.007521
0.033333	1.083333	999	-0.018745
0.033333	1.100000	999	-0.028170
0.033333	1.116667	999	-0.006727
0.033333	1.133333	999	0.034670
0.033333	1.150000	999	-0.011894
0.033333	1.166667	999	-0.005765
0.033333	1.183333	999	-0.021001
0.033333	1.200000	999	0.013591
0.033333	1.216667	999	-0.008431
0.033333	1.233333	999	-0.013330
0.033333	1.250000	999	-0.045641
0.033333	1.266667	999	0.053185
0.033333	1.283333	999	0.000943
0.033333	1.300000	999	0.012929
0.033333	1.316667	999	0.000860
0.033333	1.333333	999	-0.000310
0.033333	1.350000	999	0.017945
0.033333	1.366667	999	-0.026471
0.033333	1.383333	999	-0.044879
0.033333	1.400000	999	-0.003344
0.033333	1.416667	999	0.012269
0.033333	1.433333	999	-0.023779
0.033333	1.450000	999	-0.027450
0.033333	1.466667	999	0.017479
0.033333	1.483333	999	-0.029282
0.033333	1.500000	999	0.016192
0.033333	1.516667	999	-0.048916
0.033333	1.533333	999	0.005321
0.033333	1.550000	999	0.024974
0.033333	1.566667	999	0.023668
0.033333	1.583333	999	-0.009421
0.033333	1.600000	999	0.017890
0.033333	1.616667	999	-0.003630
0.033333	1.633333	999	-0.026216
0.033333	1.650000	999	0.045749
0.033333	1.666667	999	-0.042557
0.033333	1.683333	999	-0.019474
0.033333	1.700000	999	0.014329
0.033333	1.716667	999	0.052132
0.033333	1.733333	999	0.000265
0.033333	1.750000	999	-0.038413
0.033333	1.766667	999	-0.033711
0.033333	1.783333	999	0.029756
0.033333	1.800000	999	0.054824
0.033333	1.816667	999	-0.051730
0.033333	1.833333	999	-0.012723
0.033333	1.850000	999	0.059688
0.033333	1.866667	999	-0.028854
0.033333	1.883333	999	-0.013699
0.033333	1.900000	999	0.009984
0.033333	1.916667	999	0.004856
0.033333	1.933333	999	-0.068053
0.033333	1.950000	999	0.047941
0.033333	1.966667	999	0.030838
0.033333	1.983333	999	0.029731
0.033333	2.000000	999	-0.026845
0.033333	2.016667	999	-0.005092
0.033333	2.033333	999	0.005040
0.033333	2.050000	999	0.033910
0.033333	2.066667	999	0.003162
0.033333	2.083333	999	0.044467
0.033333	2.100000	999	0.023726
0.033333	2.116667	999	-0.053538
0.033333	2.133333	999	-0.021787
0.033333	2.150000	999	0.054352
